date,USD,EUR,GBP
2024-03-15,38.6854,42.287,49.498
2024-03-16,38.6854,42.287,49.498
2024-03-17,38.6854,42.287,49.498
2024-03-18,38.7998,42.2452,49.462
2024-03-19,38.9744,42.447,49.63
2024-03-20,39.1338,42.4641,49.7038
2024-03-21,39.1399,42.4394,49.6803
2024-03-22,38.9234,42.4693,49.5689
2024-03-23,38.9234,42.4693,49.5689
2024-03-24,38.9234,42.4693,49.5689
2024-03-25,38.9075,42.1252,49.0974
2024-03-26,39.2298,42.4898,49.5904
2024-03-27,39.343,42.6911,49.7296
2024-03-28,39.2273,42.442,49.5049
2024-03-29,39.2214,42.367,49.5641
2024-03-30,39.2214,42.367,49.5641
2024-03-31,39.2214,42.367,49.5641
2024-04-01,38.9974,42.1601,49.2498
2024-04-02,39.0749,42.1384,49.2949
2024-04-03,39.3236,42.2768,49.4435
2024-04-04,39.1953,42.2643,49.2959
2024-04-05,39.0201,42.3485,49.3624
2024-04-06,39.0201,42.3485,49.3624
2024-04-07,39.0201,42.3485,49.3624
2024-04-08,38.8437,42.091,49.0712
2024-04-09,38.9882,42.2008,49.2031
2024-04-10,38.9945,42.3519,49.4411
2024-04-11,39.0232,42.3616,49.5361
2024-04-12,39.1676,42.019,49.1123
2024-04-13,39.1676,42.019,49.1123
2024-04-14,39.1676,42.019,49.1123
2024-04-15,39.399,41.9678,49.1345
2024-04-16,39.5737,42.1618,49.3761
2024-04-17,39.5737,42.1222,49.3009
2024-04-18,39.5451,42.0562,49.2613
2024-04-19,39.6037,42.2789,49.3858
2024-04-20,39.6037,42.2789,49.3858
2024-04-21,39.6037,42.2789,49.3858
2024-04-22,39.7879,42.3821,49.4922
2024-04-23,39.7836,42.3118,48.9915
2024-04-24,39.586,42.262,49.0668
2024-04-25,39.4716,42.1833,49.075
2024-04-26,39.6702,42.5205,49.6274
2024-04-27,39.6702,42.5205,49.6274
2024-04-28,39.6702,42.5205,49.6274
2024-04-29,39.6015,42.4409,49.5494
2024-04-30,39.6688,42.4972,49.7129
2024-05-01,39.5151,42.3641,49.5598
2024-05-02,39.637,42.2986,49.4828
2024-05-03,39.5345,42.3098,49.4695
2024-05-04,39.5345,42.3098,49.4695
2024-05-05,39.5345,42.3098,49.4695
2024-05-06,39.3969,42.3359,49.4628
2024-05-07,39.3561,42.3983,49.4982
2024-05-08,39.2966,42.3087,49.2937
2024-05-09,39.3828,42.3168,49.1694
2024-05-10,39.5518,42.4312,49.327
2024-05-11,39.5518,42.4312,49.327
2024-05-12,39.5518,42.4312,49.327
2024-05-13,39.7206,42.8148,49.7501
2024-05-14,39.6196,42.7495,49.7107
2024-05-15,39.6799,42.8305,49.8102
2024-05-16,39.5771,42.8501,49.9067
2024-05-17,39.4305,42.8452,49.9013
2024-05-18,39.4305,42.8452,49.9013
2024-05-19,39.4305,42.8452,49.9013
2024-05-20,39.4272,42.7549,49.8951
2024-05-21,39.665,43.0802,50.3587
2024-05-22,39.8052,43.2643,50.6322
2024-05-23,39.825,43.1106,50.6036
