id,source_id,source_name,title,body,category,sentiment,published,day,hour,week_day
15,bbc,BBC News,Trump claims other presidents flouted war powers law. It's a mixed record,"Both Bushes and Reagan won authorisation for wars, but Obama and Clinton ducked the requirement.",Culture,negative,2026-05-02T02:43:48+00:00,2026-05-02,2,Saturday
32,bbc,BBC News,'This tree was planted by my ancestor hundreds of years ago and my family settled here',Oral history traces a family's roots to a tree planted in the 13th Century in a Ghanaian fishing town.,Culture,neutral,2026-05-02T04:02:24+00:00,2026-05-02,4,Saturday
12,bbc,BBC News,Cuba condemns new US sanctions as 'illegal' and 'abusive',The new measures come on top of a US blockade of oil to Cuba that has caused widespread blackouts and fuel shortages.,Society,negative,2026-05-02T04:57:02+00:00,2026-05-02,4,Saturday
16,euronews,Euronews,"Latest news bulletin | May 2nd, 2026 – Morning","Catch up with the most important stories from around Europe and beyond this May 2nd, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",Culture,positive,2026-05-02T05:00:33+00:00,2026-05-02,5,Saturday
8,bbc,BBC News,"'If we sleep, they bite': Rats and weasels infest camps for displaced Gazans","In the Gaza Strip, the daily battles are now with rats, weasels, and other pests spreading diseases.",Culture,negative,2026-05-02T05:02:14+00:00,2026-05-02,5,Saturday
15,euronews,Euronews,Trump follows through on threats as he announces significant troop withdrawal from Germany,"Trump had earlier threatened to pull some US troops from Germany after Chancellor Friedrich Merz expressed his disapproval with the US-Israeli war on Iran, which has upended the Middle East and caused a global oil price crisis.",War/Security,negative,2026-05-02T06:30:45+00:00,2026-05-02,6,Saturday
21,dw,Deutsche Welle,The significance of US military bases in Germany,"President Donald Trump has said he is planning to cut US troop numbers in Germany. How many US bases are there in the country now, and what's their strategic importance?",Culture,positive,2026-05-02T07:04:00+00:00,2026-05-02,7,Saturday
14,euronews,Euronews,Trump jokes that the US Navy will takeover Cuba 'almost immediately' on the way back from Iran,"Trump appeared to hint at a potential military operation in Cuba after US forces “finish the job” in Iran. The comments come as Washington announced a set of new sanctions targeting the island nation on Friday, which Havana slammed as a form of collective punishment.",Culture,negative,2026-05-02T07:12:56+00:00,2026-05-02,7,Saturday
20,dw,Deutsche Welle,Kosovo to hold snap elections in June,"Kosovo will soon hold its third parliamentary election in a year and a half. Prime Minister Albin Kurti was able to form a government in February, but now there's political deadlock over who should be elected president.",Politics,negative,2026-05-02T07:46:00+00:00,2026-05-02,7,Saturday
19,dw,Deutsche Welle,US to withdraw thousands of troops from Germany,"The decision to cut US troops comes amid rising tensions after German Chancellor Friedrich Merz said the US was being ""humiliated"" by Iran's leadership.",War/Security,negative,2026-05-02T07:52:00+00:00,2026-05-02,7,Saturday
18,dw,Deutsche Welle,"How the Iran war is hurting travelers, airline industry","Europeans may have to reconsider their summer travel plans, as a jet fuel shortage triggered by the blockade of the Strait of Hormuz could lead airlines to set higher ticket prices.",Economy,negative,2026-05-02T07:57:00+00:00,2026-05-02,7,Saturday
13,euronews,Euronews,Spirit Airlines says it is going out of business and ending operations 'immediately' after 34 years,"The budget airline had hoped for a government bailout to arrive on Friday to prevent it from going out of business. The Trump administration announced on Friday that it had offered the airline its final proposal, but a deal could not be reached.",Economy,positive,2026-05-02T08:13:44+00:00,2026-05-02,8,Saturday
17,dw,Deutsche Welle,Iran: Jailed Nobel winner Narges Mohammadi hospitalized,"Iranian activist Narges Mohammadi is in hospital after suffering a ""cardiac crisis"" in prison, her family says. Mohammadi won the 2023 Nobel Peace Prize for her advocacy of women's rights and freedom.",War/Security,positive,2026-05-02T08:18:00+00:00,2026-05-02,8,Saturday
