id,loan_amount,loan_days,age,monthly_income,dti,score_raw,rating,recommendation,fraud_score,fraud_risk,binary_decision,ml_probability,target,cluster
1,3000,30,26.0,15000,0.5508666666666666,403,C,Requires manual review,0,Clean,1,0.7497006912764647,1,0
2,1000,7,37.0,11000,0.5272727272727272,386,C,Requires manual review,0,Clean,1,0.6756770138832849,1,0
3,1000,3,26.5,10000,0.5,414,C,Requires manual review,0,Clean,1,0.7125199369709595,0,0
4,1600,30,28.2,8000,0.375,410,C,Requires manual review,0,Clean,1,0.7609632388481093,1,0
5,2500,18,23.3,9000,1.0555555555555556,350,D,Reject,0,Clean,1,0.7384963877905708,0,0
6,1000,30,24.6,6500,0.46153846153846156,377,C,Requires manual review,0,Clean,1,0.7520065609623099,1,0
7,1300,30,27.8,20000,0.35,433,B,Conditionally approve,0,Clean,1,0.7162843284743751,0,0
8,2000,14,36.4,14000,0.5,425,C,Requires manual review,0,Clean,1,0.708973125088888,1,0
9,2500,12,34.3,15000,0.8,409,C,Requires manual review,0,Clean,1,0.7574694235727012,1,0
10,1000,7,29.6,7200,0.5763888888888888,392,C,Requires manual review,0,Clean,1,0.7684603887414384,1,0
11,2000,30,39.4,15000,1.1333333333333333,357,D,Reject,0,Clean,1,0.7545376578920822,1,0
12,1400,3,26.8,25000,0.6,406,C,Requires manual review,0,Clean,1,0.7545632829768584,1,0
13,2500,30,29.6,14000,0.32142857142857145,409,C,Requires manual review,1,Low,1,0.6693698310788205,0,0
14,2000,30,22.9,9000,0.3333333333333333,391,C,Requires manual review,0,Clean,1,0.7575808316611651,1,0
15,1500,30,24.5,10000,0.35,360,D,Reject,0,Clean,1,0.6834292856614336,0,0
16,1000,30,25.9,2000,0.25,387,C,Requires manual review,0,Clean,1,0.7544807752853759,1,0
17,800,3,44.5,9000,0.6111111111111112,415,C,Requires manual review,0,Clean,1,0.7545006323089163,1,0
18,1200,9,29.9,30000,0.5333,397,C,Requires manual review,2,Low,0,0.5401920425227115,0,0
19,3000,30,30.7,10000,0.3,425,C,Requires manual review,0,Clean,1,0.7515825070123155,0,0
20,1950,30,23.6,7900,0.6962025316455697,357,D,Reject,0,Clean,1,0.7727478118206813,1,0
21,1700,9,29.2,5000,0.7,400,C,Requires manual review,0,Clean,1,0.7421161279293973,1,0
22,3050,20,37.1,12000,0.6666666666666666,397,C,Requires manual review,0,Clean,1,0.6930057680359111,1,0
23,1500,30,34.8,10000,0.5,394,C,Requires manual review,3,Medium,0,0.49197062878755493,0,0
24,1500,10,34.4,12000,0.16666666666666666,434,B,Conditionally approve,0,Clean,1,0.6842843981273027,0,0
25,1000,30,26.6,10000,0.5,410,C,Requires manual review,0,Clean,1,0.7531664579852485,1,0
26,3000,16,25.5,10000,0.3,421,C,Requires manual review,0,Clean,1,0.7545453893139651,1,0
27,1500,8,20.5,5600,0.6071428571428571,349,D,Reject,0,Clean,1,0.6210507799379945,0,0
28,500,30,32.3,3100,10.0,307,D,Reject,4,Medium,1,0.7545409085874136,1,1
29,2000,14,25.8,20000,0.515,398,C,Requires manual review,0,Clean,1,0.7544963348731071,1,0
30,1000,7,32.4,8000,0.625,407,C,Requires manual review,0,Clean,1,0.6759969754132444,0,0
31,1000,10,32.6,12000,0.8333333333333334,409,C,Requires manual review,0,Clean,1,0.7529225438024854,1,0
32,3000,19,34.5,14000,0.6857142857142857,433,B,Conditionally approve,0,Clean,1,0.6507152004922987,0,0
33,1000,30,26.7,20000,0.45,407,C,Requires manual review,0,Clean,1,0.6545091355978198,0,0
34,3000,30,51.4,9000,0.5555555555555556,414,C,Requires manual review,0,Clean,1,0.7544957413789103,1,0
35,500,7,20.3,14200,0.5633802816901409,394,C,Requires manual review,0,Clean,1,0.6468408298974553,0,0
36,1500,21,36.0,35000,0.5142857142857142,406,C,Requires manual review,3,Medium,1,0.7545303645741682,1,0
37,550,25,25.9,2000,3.9,313,D,Reject,3,Medium,1,0.7372331042838681,0,0
38,500,30,35.5,12000,0.3333333333333333,410,C,Requires manual review,0,Clean,1,0.7545697023622425,1,0
39,3950,14,32.6,18000,0.5555555555555556,429,C,Requires manual review,0,Clean,1,0.7596988588254556,1,0
40,1600,30,32.8,9300,0.7419354838709677,402,C,Requires manual review,0,Clean,1,0.7863587399694654,1,0
41,1500,30,36.0,8000,0.1875,437,B,Conditionally approve,0,Clean,1,0.7708013377028375,1,0
42,6000,10,39.3,20000,0.675,436,B,Conditionally approve,0,Clean,1,0.7545118978578842,1,0
43,1500,30,22.6,7000,0.5714285714285714,379,C,Requires manual review,0,Clean,1,0.7592687260338775,0,0
44,4000,24,32.5,10000,0.25,431,B,Conditionally approve,0,Clean,1,0.7728093850425709,1,0
45,4500,30,29.5,12000,0.125,436,B,Conditionally approve,0,Clean,1,0.7697774235893793,1,0
46,4000,17,28.1,8000,0.375,443,B,Conditionally approve,0,Clean,1,0.7353881744765958,1,0
47,1200,30,26.2,5000,0.24,413,C,Requires manual review,0,Clean,1,0.7544596596290009,1,0
48,1000,22,29.7,8500,0.5882352941176471,416,C,Requires manual review,0,Clean,1,0.7410988777973938,0,0
49,1400,12,34.7,10000,0.5,418,C,Requires manual review,0,Clean,1,0.7545287121471301,1,0
50,4000,30,30.2,25000,0.76,406,C,Requires manual review,0,Clean,1,0.7545301735899432,1,0
51,1000,30,20.4,10000,0.15,369,D,Reject,0,Clean,1,0.7544613896802959,1,0
52,1000,30,20.2,9000,0.3333333333333333,377,C,Requires manual review,0,Clean,1,0.7552163880777741,1,0
53,1000,21,38.5,7000,0.5714285714285714,378,C,Requires manual review,0,Clean,1,0.7845026580904945,1,0
54,1800,30,41.6,6000,0.20833333333333334,407,C,Requires manual review,0,Clean,1,0.789474252403465,1,0
55,2250,24,24.5,6000,0.6666666666666666,379,C,Requires manual review,0,Clean,1,0.7433187725374043,1,0
