geonameid,name,state,lat,lon,population,timezone
4046704,Fort Hunt,VA,38.73289,-77.05803,16045,America/New_York
4048023,Bessemer,AL,33.40178,-86.95444,26730,America/Chicago
4048662,Paducah,KY,37.08339,-88.60005,24864,America/Chicago
4049979,Birmingham,AL,33.52066,-86.80249,196357,America/Chicago
4050552,Cordova,TN,35.15565,-89.7762,68779,America/Chicago
4054378,Center Point,AL,33.64566,-86.6836,16655,America/Chicago
4057835,Cullman,AL,34.17482,-86.84361,15350,America/Chicago
4058219,Daphne,AL,30.60353,-87.9036,24896,America/Chicago
4058553,Decatur,AL,34.60593,-86.98334,55437,America/Chicago
4059102,Dothan,AL,31.22323,-85.39049,68567,America/Chicago
4059870,East Florence,AL,34.80953,-87.64947,35733,America/Chicago
4060791,Enterprise,AL,31.31517,-85.85522,27978,America/Chicago
4061234,Fairhope,AL,30.52297,-87.90333,18730,America/Chicago
4062577,Florence,AL,34.79981,-87.67725,40026,America/Chicago
4062644,Foley,AL,30.40659,-87.6836,17218,America/Chicago
4063619,Gadsden,AL,34.01434,-86.00639,36084,America/Chicago
4066811,Helena,AL,33.29622,-86.8436,18264,America/Chicago
4067927,Homewood,AL,33.47177,-86.80082,25708,America/Chicago
4067994,Hoover,AL,33.40539,-86.81138,84848,America/Chicago
4068446,Hueytown,AL,33.45122,-86.99666,15710,America/Chicago
4068590,Huntsville,AL,34.7304,-86.58594,215006,America/Chicago
4074267,Madison,AL,34.69926,-86.74833,46962,America/Chicago
4076239,Millbrook,AL,32.47986,-86.36192,15314,America/Chicago
4076598,Mobile,AL,30.69436,-88.04305,183289,America/Chicago
4076784,Montgomery,AL,32.36681,-86.29997,195287,America/Chicago
4078646,Mountain Brook,AL,33.50094,-86.75221,20691,America/Chicago
4080555,Northport,AL,33.22901,-87.57723,24772,America/Chicago
4081644,Opelika,AL,32.64541,-85.37828,29527,America/Chicago
4081914,Oxford,AL,33.61427,-85.83496,21249,America/Chicago
4082569,Pelham,AL,33.28567,-86.80999,22885,America/Chicago
4082866,Phenix City,AL,32.47098,-85.00077,37570,America/New_York
4084796,Prattville,AL,32.46402,-86.4597,35420,America/Chicago
4084888,Prichard,AL,30.7388,-88.07889,22351,America/Chicago
4089114,Selma,AL,32.40736,-87.0211,19519,America/Chicago
4092788,Talladega,AL,33.43594,-86.1058,15709,America/Chicago
4093753,Tillmans Corner,AL,30.59019,-88.17084,17398,America/Chicago
4094163,Troy,AL,31.80877,-85.96995,18853,America/Chicago
4094212,Trussville,AL,33.61983,-86.60888,21023,America/Chicago
4094455,Tuscaloosa,AL,33.20984,-87.56917,111338,America/Chicago
4095415,Vestavia Hills,AL,33.44872,-86.78777,34174,America/Chicago
4101114,Bella Vista,AR,36.4807,-94.27134,27999,America/Chicago
4101241,Benton,AR,34.56454,-92.58683,34177,America/Chicago
4101260,Bentonville,AR,36.37285,-94.20882,44499,America/Chicago
4103448,Bryant,AR,34.59593,-92.48905,19986,America/Chicago
4103957,Cabot,AR,34.97453,-92.01653,25587,America/Chicago
4106458,Conway,AR,35.0887,-92.4421,64980,America/Chicago
4109785,El Dorado,AR,33.20763,-92.66627,18386,America/Chicago
4110486,Fayetteville,AR,36.06258,-94.15743,82830,America/Chicago
4111410,Fort Smith,AR,35.38592,-94.39855,88194,America/Chicago
4115412,Hot Springs,AR,34.5037,-93.05518,35635,America/Chicago
4116315,Jacksonville,AR,34.8662,-92.11015,28643,America/Chicago
4116834,Jonesboro,AR,35.8423,-90.70428,73907,America/Chicago
4119403,Little Rock,AR,34.74648,-92.28959,202591,America/Chicago
4120792,Maumelle,AR,34.86676,-92.40432,17931,America/Chicago
4124112,North Little Rock,AR,34.76954,-92.26709,66504,America/Chicago
4125388,Paragould,AR,36.0584,-90.49733,27900,America/Chicago
4126226,Pine Bluff,AR,34.22843,-92.0032,44772,America/Chicago
4128894,Rogers,AR,36.33202,-94.11854,63159,America/Chicago
4129397,Russellville,AR,35.27842,-93.13379,29166,America/Chicago
4130430,Searcy,AR,35.25064,-91.73625,24196,America/Chicago
4131116,Siloam Springs,AR,36.18814,-94.5405,16081,America/Chicago
4132093,Springdale,AR,36.18674,-94.12881,77859,America/Chicago
4133367,Texarkana,AR,33.44179,-94.03769,30353,America/Chicago
4134716,Van Buren,AR,35.43676,-94.34827,23081,America/Chicago
4135865,West Memphis,AR,35.14648,-90.18454,25052,America/Chicago
4137457,Adams Morgan,DC,38.9215,-77.0422,15830,America/New_York
4140463,Shaw,DC,38.91206,-77.02137,17639,America/New_York
4140963,Washington,DC,38.89511,-77.03637,689545,America/New_York
4141363,Bear,DE,39.62928,-75.65826,19371,America/New_York
4142290,Dover,DE,39.15817,-75.52437,39403,America/New_York
4143637,Middletown,DE,39.44956,-75.71632,20372,America/New_York
4143861,Newark,DE,39.68372,-75.74966,33817,America/New_York
4145381,Wilmington,DE,39.74595,-75.54659,70898,America/New_York
4145805,Allapattah,FL,25.81454,-80.22394,54289,America/New_York
