state_code,state_name,n_cities,centroid_lon,centroid_lat,pop_official,area_official,density,area_computed_km2,log_density,log_pop,log_area,n_cities_log,cluster,cluster_agg,knn_avg_dist_km,knn_pred,cluster_name
AK,Alaska,5,-148.35765133385794,61.46261515469283,733391,1723337,0.42556447171969264,853340.6856181057,0.35456785579064654,13.505435626460605,14.359773665743203,1.791759469228055,1,2,2637.3346313511797,1,Rural
AL,Alabama,43,-86.77195209792434,33.02334200495268,5024279,135767,37.006629004102614,1739.7392164676473,3.6377605919885787,15.42979271806125,11.818702825691101,3.784189633918261,0,0,335.8044624501242,0,Industrial
AR,Arkansas,26,-92.86166211158462,35.254115557694284,3011524,137732,21.865100339790317,3173.2607441711584,3.1296117454577184,14.91795715294233,11.833072307421055,3.295836866004329,0,0,416.1532938509343,0,Industrial
AZ,Arizona,56,-111.96908230548325,33.29686803836138,7151502,295234,24.223165353583937,28305.896651606392,3.2277628323194594,15.782833102369418,12.595526928365974,4.04305126783455,0,0,643.943750817233,0,Industrial
CA,California,451,-119.2148210389305,35.220154425044015,39538223,423967,93.25778421433743,224440.35489124127,4.546033414051214,17.492778458157755,12.957413259667849,6.113682179832232,0,0,734.8227109382619,0,Industrial
CO,Colorado,45,-105.04645318694533,39.61347059400427,5773714,269601,21.415773680364687,10451.686664963096,3.1097648932002087,15.568826278790414,12.5047020763904,3.828641396489095,0,0,553.2160334250032,0,Industrial
CT,Connecticut,64,-72.95816431621614,41.43320865367574,3605944,14357,251.16277773908197,4949.165495391659,5.53007482238883,15.0980944302719,9.572062557136428,4.174387269895637,2,0,142.03288134519707,0,Metropolitan
DC,District of Columbia,3,-77.03602514896649,38.89604751808746,689545,177,3895.7344632768363,3.9387318830813087,8.26789416426346,13.443788689001023,5.181783550292085,1.3862943611198906,2,1,118.7921115095554,2,Metropolitan
DE,Delaware,5,-75.6093383442473,39.56319040394426,989948,6446,153.57555072913433,292.1999074840149,5.040682978298608,13.805408705632306,8.77137018531062,1.791759469228055,2,1,123.77906332015479,2,Metropolitan
FL,Florida,246,-81.39724344779606,27.56213832444675,21538187,170312,126.46312062567523,55926.231245032606,4.847827072762929,16.88533810359134,12.045393199615207,5.5093883366279774,0,0,770.2075369870194,0,Industrial
GA,Georgia,76,-83.97774995455065,33.38132747785247,10711908,153910,69.59851861477487,42731.06170804679,4.257009161485498,16.18686667117143,11.944129792256511,4.343805421853684,0,0,358.5042123411272,0,Industrial
HI,Hawaii,38,-157.7266744416444,21.264547227661396,1455271,28313,51.39939250520962,940.7548312071876,3.958894997847762,14.190703382697086,10.251111660954443,3.6635616461296463,0,0,4222.191738512514,0,Industrial
IA,Iowa,30,-92.80781486177551,41.842713153865105,3190369,145746,21.889924937905672,1372.6211492515963,3.1306968547063976,14.975647455495817,11.889627520810507,3.4339872044851463,1,0,353.8326167607142,0,Rural
ID,Idaho,16,-115.58138440243678,44.137201671876625,1839106,216443,8.4969530084133,7766.301496544673,2.2509710112032226,14.424790685689388,12.2850871324582,2.833213344056216,1,0,520.5975650592824,1,Rural
IL,Illinois,212,-88.08592411947542,41.63727130862533,12812508,149995,85.41956731891064,17046.071345471788,4.4592141237672385,16.36593251730168,11.918363906056165,5.3612921657094255,0,0,296.5657437767303,0,Industrial
IN,Indiana,61,-86.29077516491826,40.222294186286696,6785528,94326,71.93698450056188,13544.612281164087,4.289595842334558,15.730302814313603,11.454522747894234,4.127134385045092,0,0,281.6839415715818,0,Industrial
KS,Kansas,25,-96.1273738004351,38.54988115563942,2937880,213100,13.786391365556076,11510.81842810434,2.6937072554411916,14.893199131151617,12.269521510708264,3.258096538021482,1,0,349.87859561385943,1,Rural
KY,Kentucky,38,-84.76199017206545,38.163292395577585,4505836,104656,43.053776181012076,3343.292438358413,3.7854110735891124,15.320884225329797,11.55844361526924,3.6635616461296463,0,0,326.5274167482993,0,Industrial
LA,Louisiana,31,-91.26289100927177,30.557408945753693,4657757,135659,34.33430144701052,1017.8340826907404,3.5648542045122933,15.35404477444862,11.81790703450007,3.4657359027997265,0,0,474.39512506180796,0,Industrial
MA,Massachusetts,131,-71.30286820445534,42.312407039693184,7029917,27336,257.1669959028387,9606.104370738207,5.553606646473367,15.765685599422945,10.215996374922929,4.882801922586371,0,0,126.62534177001827,0,Industrial
MD,Maryland,106,-76.79735056440438,39.169734825596926,6177224,32131,192.25122156173165,6280.214455890828,5.263991008594935,15.636379699463893,10.377607697293703,4.672828834461906,0,0,109.97782343712447,0,Industrial
ME,Maine,14,-70.12395427699575,43.87619071855303,1362359,91633,14.86755863062434,2929.003031173168,2.764276687205012,14.12472904794658,11.425557660831625,2.70805020110221,1,1,211.10589683037642,1,Rural
MI,Michigan,78,-83.75619942933112,42.589532977363824,10077331,250487,40.230954101410454,49794.110498019065,3.7191892874020787,16.12579910303321,12.431166294167998,4.3694478524670215,0,0,339.2017715981158,0,Industrial
MN,Minnesota,72,-93.27111483342843,44.9812293410961,5706494,225163,25.343835354831832,32699.43455979148,3.271234295237946,15.557115557781593,12.32458430456495,4.290459441148391,0,0,422.16337726602933,0,Industrial
MO,Missouri,56,-92.46545831736015,38.66268607691226,6154913,180540,34.091686052952255,10824.239038109363,3.557964237826718,15.632761345122898,12.103713177775546,4.04305126783455,0,0,374.46437584668126,0,Industrial
MS,Mississippi,29,-89.6278810847858,32.34723855218074,2961279,125438,23.607511280473222,789.6027340948071,3.2030517329371855,14.901132165260718,11.739574863613683,3.4011973816621555,0,0,346.85701792089617,0,Industrial
MT,Montana,7,-111.25878276102394,46.47338042975903,1084225,380831,2.8469977496579846,129638.26555792471,1.3472930388097542,13.896376926336188,12.850113611982167,2.0794415416798357,1,2,625.0774292638479,1,Rural
NC,North Carolina,64,-79.58716353869528,35.569949342895114,10439388,139391,74.89284100121242,14958.654830718939,4.329322358493384,16.161096613801902,11.845045386852577,4.174387269895637,0,0,352.352749298369,0,Industrial
ND,North Dakota,9,-99.12651745994968,47.24568112997958,779094,183108,4.254833213185661,146281.37801422508,1.659148265135538,13.565888268636952,12.11783688292266,2.302585092994046,1,2,591.0380219170753,1,Rural
NE,Nebraska,12,-96.59149042866167,41.096761940949996,1961504,200330,9.791364248989169,10013.385869302248,2.3787462076992423,14.489222593698084,12.20772627752683,2.5649493574615367,1,0,352.0563278137366,1,Rural
NH,New Hampshire,14,-71.39448328994817,43.00902632008478,1377529,24214,56.8897745106137,423.81477100784883,4.0585407629479615,14.135802598356449,10.094727554837329,2.70805020110221,2,1,140.38941150394186,2,Metropolitan
NJ,New Jersey,125,-74.34595039216426,40.5308064404717,9288994,22591,411.1811783453588,8344.089488543694,6.021463005951831,16.04434092409844,10.025351140292969,4.836281906951478,0,0,127.84613922260004,0,Industrial
NM,New Mexico,15,-106.33024104358783,34.67145098451801,2117522,314917,6.724063800938025,5168.938176101845,2.0443406246225244,14.565757567314764,12.66006756645898,2.772588722239781,1,0,693.4389956184876,1,Rural
NV,Nevada,20,-116.00423604966346,36.80943103735476,3104614,286380,10.840889726936238,3066.185167405361,2.4715587724886525,14.948400272103104,12.565078371085857,3.044522437723423,1,0,556.8008179797906,1,Rural
NY,New York,245,-74.13340727355933,40.90820887099355,20201249,141297,142.97011967699243,11075.318817775473,4.969605775801323,16.82125504164499,11.858626414290775,5.5053315359323625,0,0,136.20298891677714,0,Industrial
OH,Ohio,127,-82.69566850379645,40.58915159576195,11799448,116098,101.63351651191235,20594.833906907912,4.631164551047167,16.2835633934304,11.662198554384462,4.852030263919617,0,0,271.40163537913793,0,Industrial
OK,Oklahoma,33,-96.99015856128408,35.63436370358069,3959353,181037,21.870407706711887,37372.029065421375,3.1298438350166666,15.191591438610173,12.106462232964029,3.5263605246161616,0,0,437.7616436408213,0,Industrial
OR,Oregon,46,-122.6988530874394,44.89807431638932,4237256,254799,16.629798390103574,13090.031825931937,2.8695905607291663,15.259426683893805,12.448234202680146,3.8501476017100584,1,0,689.4615809538994,1,Rural
PA,Pennsylvania,89,-76.18930140824129,40.221507030337705,13002700,119280,109.00989268947015,10075.613139358058,4.700570295289276,16.380667663075542,11.689237333038621,4.499809670330265,0,0,135.13256519732775,0,Industrial
RI,Rhode Island,23,-71.43847122263959,41.76539633367988,1097379,4001,274.2761809547613,1743.382549531665,5.617774888081311,13.90843607854573,8.294549515143679,3.1780538303479458,2,1,144.042975085647,2,Metropolitan
SC,South Carolina,34,-80.81120895271108,33.70043798268141,5118425,82933,61.71759130864674,3164.105642421278,4.13864197142471,15.4483575278769,11.32580038973195,3.5553480614894135,0,0,411.021582918251,0,Industrial
SD,South Dakota,6,-98.38243962078806,43.9776097289721,886667,199729,4.439350319683171,116031.43405463967,1.6936596272071065,13.69522589584804,12.204721733459218,1.9459101490553132,1,2,413.2422364776067,1,Rural
TN,Tennessee,45,-87.45014982920208,35.63816568860092,6910840,109153,63.313330829203046,5850.93897431941,4.163766932137888,15.748601896008118,11.600515008122919,3.828641396489095,0,0,372.1468334152835,0,Industrial
TX,Texas,194,-97.49100812047524,30.99398854982189,29145505,695662,41.896071655487866,223001.3631596421,3.7587802519390534,17.1878112907796,13.452620626653811,5.272999558563747,0,0,628.579300775544,0,Industrial
UT,Utah,51,-111.98246299983727,40.479818968094456,3271616,219882,14.878962352534542,7084.849531433585,2.7649951106446538,15.000794916063715,12.300850865687233,3.9512437185814275,1,0,544.3717667818435,1,Rural
VA,Virginia,84,-77.20300387315814,37.72899882389096,8631393,110787,77.90979988626825,7511.927748989066,4.368305426555431,15.970916579563205,11.615373744181003,4.442651256490317,0,0,207.94377589242242,0,Industrial
VT,Vermont,4,-73.15120340336402,44.34034791258213,643077,24906,25.820163815947964,29.262421927541762,3.289153985812059,13.374021302239093,10.122904167442703,1.6094379124341003,2,1,260.15719245742395,1,Metropolitan
WA,Washington,92,-121.5843038768006,47.28935449318642,7705281,184661,41.72662879546845,31797.426125227325,3.7548223510478134,15.857416625677246,12.126282405983877,4.532599493153256,0,0,682.4420612935785,0,Industrial
WI,Wisconsin,55,-88.63770517257356,43.421450277134056,5893718,169635,34.743525805405724,35063.97642864488,3.5763691563878046,15.589397765540951,12.041410243966036,4.02535169073515,0,0,349.99159387422014,0,Industrial
WV,West Virginia,11,-80.94353368661504,39.18333361179161,1793716,62756,28.58238256103002,156.17696727660186,3.38717900038887,14.399800561108293,11.04702540455723,2.4849066497880004,1,1,315.7340038703675,1,Rural
WY,Wyoming,6,-106.0274274770318,42.38332196057054,576851,253335,2.2770284406023644,163543.67146193213,1.1869370485323472,13.26534101345526,12.442471949854792,1.9459101490553132,1,2,529.6170618919137,1,Rural
